GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,34,26,2,4,7,8,2,4,1,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,12,44,0,0,3,11,2,3,2,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,33,3,0,0,7,1,3,1,3,1
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,18,55,0,2,5,14,2,4,2,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,11,38,0,0,3,7,2,2,2,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,104,15,0,0,21,4,4,2,4,2
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,92,17,7,1,23,7,6,3,2,3
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,9,45,0,0,4,20,1,13,1,13
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,0,74,0,0,0,32,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,0,70,0,0,0,30,0,16,0,16
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,0,86,0,0,0,36,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,0,45,0,0,0,20,0,11,0,11
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,4,49,0,0,2,21,1,11,1,11
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,3,37,0,2,1,7,1,2,1,1
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,3,29,0,0,1,11,1,8,1,8
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,46,8,2,0,11,2,2,1,1,1
